tof posE posN posU psiRads thetaRads velE velN velU mach speed specificForceX specificForceY specificForceZ tgtE tgtN tgtU
0.2280 1.7399 0.0000 1.6982 0.0000 0.7333 15.2347 0.0000 13.7256 0.0597 20.5058 89.8254 0.0000 -7.2812 3000.0000 0.0000 3000.0000
0.2300 1.7707 0.0000 1.7258 0.0000 0.7326 15.3781 0.0000 13.8351 0.0603 20.6856 89.9000 0.0000 -7.2858 3000.0000 0.0000 3000.0000
0.2320 1.8017 0.0000 1.7537 0.0000 0.7319 15.5216 0.0000 13.9446 0.0608 20.8656 89.9746 0.0000 -7.2904 3000.0000 0.0000 3000.0000
0.2340 1.8330 0.0000 1.7818 0.0000 0.7312 15.6653 0.0000 14.0541 0.0613 21.0457 90.0492 0.0000 -7.2950 3000.0000 0.0000 3000.0000
0.2360 1.8647 0.0000 1.8102 0.0000 0.7305 15.8092 0.0000 14.1636 0.0618 21.2259 90.1238 0.0000 -7.2996 3000.0000 0.0000 3000.0000
0.2380 1.8966 0.0000 1.8387 0.0000 0.7299 15.9533 0.0000 14.2731 0.0624 21.4063 90.1984 0.0000 -7.3041 3000.0000 0.0000 3000.0000
0.2400 1.9288 0.0000 1.8675 0.0000 0.7292 16.0976 0.0000 14.3826 0.0629 21.5869 90.2730 0.0000 -7.3085 3000.0000 0.0000 3000.0000
0.2420 1.9613 0.0000 1.8965 0.0000 0.7285 16.2421 0.0000 14.4921 0.0634 21.7676 90.3477 0.0000 -7.3130 3000.0000 0.0000 3000.0000
0.2440 1.9940 0.0000 1.9257 0.0000 0.7279 16.3868 0.0000 14.6015 0.0640 21.9484 90.4224 0.0000 -7.3173 3000.0000 0.0000 3000.0000
0.2460 2.0271 0.0000 1.9551 0.0000 0.7272 16.5317 0.0000 14.7110 0.0645 22.1294 90.4971 0.0000 -7.3217 3000.0000 0.0000 3000.0000
0.2480 2.0604 0.0000 1.9847 0.0000 0.7265 16.6768 0.0000 14.8205 0.0650 22.3106 90.5718 0.0000 -7.3260 3000.0000 0.0000 3000.0000
0.2500 2.0941 0.0000 2.0146 0.0000 0.7259 16.8220 0.0000 14.9300 0.0656 22.4919 90.6466 0.0000 -7.3303 3000.0000 0.0000 3000.0000
0.2520 2.1280 0.0000 2.0447 0.0000 0.7252 16.9674 0.0000 15.0394 0.0661 22.6733 90.7214 0.0000 -7.3345 3000.0000 0.0000 3000.0000
0.2540 2.1622 0.0000 2.0750 0.0000 0.7246 17.1131 0.0000 15.1489 0.0666 22.8549 90.7961 0.0000 -7.3387 3000.0000 0.0000 3000.0000
0.2560 2.1968 0.0000 2.1055 0.0000 0.7240 17.2589 0.0000 15.2584 0.0672 23.0367 90.8710 0.0000 -7.3429 3000.0000 0.0000 3000.0000
0.2580 2.2316 0.0000 2.1362 0.0000 0.7233 17.4049 0.0000 15.3678 0.0677 23.2185 90.9458 0.0000 -7.3471 3000.0000 0.0000 3000.0000
0.2600 2.2667 0.0000 2.1672 0.0000 0.7227 17.5511 0.0000 15.4773 0.0682 23.4006 91.0207 0.0000 -7.3512 3000.0000 0.0000 3000.0000
0.2620 2.3021 0.0000 2.1983 0.0000 0.7221 17.6975 0.0000 15.5868 0.0688 23.5828 91.0955 0.0000 -7.3553 3000.0000 0.0000 3000.0000
0.2640 2.3378 0.0000 2.2297 0.0000 0.7214 17.8440 0.0000 15.6962 0.0693 23.7651 91.1705 0.0000 -7.3593 3000.0000 0.0000 3000.0000
0.2660 2.3737 0.0000 2.2613 0.0000 0.7208 17.9908 0.0000 15.8057 0.0698 23.9476 91.2454 0.0000 -7.3633 3000.0000 0.0000 3000.0000
0.2680 2.4100 0.0000 2.2932 0.0000 0.7202 18.1377 0.0000 15.9152 0.0704 24.1303 91.3204 0.0000 -7.3673 3000.0000 0.0000 3000.0000
0.2700 2.4466 0.0000 2.3252 0.0000 0.7196 18.2848 0.0000 16.0247 0.0709 24.3131 91.3953 0.0000 -7.3712 3000.0000 0.0000 3000.0000
0.2720 2.4835 0.0000 2.3575 0.0000 0.7190 18.4321 0.0000 16.1342 0.0714 24.4960 91.4704 0.0000 -7.3752 3000.0000 0.0000 3000.0000
0.2740 2.5206 0.0000 2.3900 0.0000 0.7184 18.5796 0.0000 16.2436 0.0720 24.6791 91.5454 0.0000 -7.3791 3000.0000 0.0000 3000.0000
0.2760 2.5581 0.0000 2.4227 0.0000 0.7178 18.7273 0.0000 16.3531 0.0725 24.8624 91.6205 0.0000 -7.3829 3000.0000 0.0000 3000.0000
0.2780 2.5958 0.0000 2.4556 0.0000 0.7172 18.8752 0.0000 16.4626 0.0731 25.0458 91.6956 0.0000 -7.3867 3000.0000 0.0000 3000.0000
0.2800 2.6339 0.0000 2.4888 0.0000 0.7166 19.0232 0.0000 16.5721 0.0736 25.2293 91.7707 0.0000 -7.3905 3000.0000 0.0000 3000.0000
0.2820 2.6722 0.0000 2.5221 0.0000 0.7161 19.1714 0.0000 16.6816 0.0741 25.4130 91.8459 0.0000 -7.3943 3000.0000 0.0000 3000.0000
0.2840 2.7108 0.0000 2.5557 0.0000 0.7155 19.3198 0.0000 16.7912 0.0747 25.5968 91.9210 0.0000 -7.3981 3000.0000 0.0000 3000.0000
0.2860 2.7498 0.0000 2.5895 0.0000 0.7149 19.4684 0.0000 16.9007 0.0752 25.7808 91.9963 0.0000 -7.4018 3000.0000 0.0000 3000.0000
0.2880 2.7890 0.0000 2.6235 0.0000 0.7143 19.6172 0.0000 17.0102 0.0758 25.9650 92.0715 0.0000 -7.4055 3000.0000 0.0000 3000.0000
0.2900 2.8285 0.0000 2.6578 0.0000 0.7138 19.7661 0.0000 17.1198 0.0763 26.1493 92.1468 0.0000 -7.4092 3000.0000 0.0000 3000.0000
0.2920 2.8684 0.0000 2.6922 0.0000 0.7132 19.9152 0.0000 17.2293 0.0768 26.3337 92.2221 0.0000 -7.4128 3000.0000 0.0000 3000.0000
0.2940 2.9085 0.0000 2.7269 0.0000 0.7127 20.0645 0.0000 17.3389 0.0774 26.5183 92.2974 0.0000 -7.4164 3000.0000 0.0000 3000.0000
0.2960 2.9489 0.0000 2.7618 0.0000 0.7121 20.2140 0.0000 17.4484 0.0779 26.7031 92.3728 0.0000 -7.4200 3000.0000 0.0000 3000.0000
0.2980 2.9897 0.0000 2.7969 0.0000 0.7115 20.3637 0.0000 17.5580 0.0785 26.8880 92.4482 0.0000 -7.4236 3000.0000 0.0000 3000.0000
0.3000 3.0307 0.0000 2.8323 0.0000 0.7110 20.5135 0.0000 17.6676 0.0790 27.0730 92.5236 0.0000 -7.4271 3000.0000 0.0000 3000.0000
0.3020 3.0720 0.0000 2.8678 0.0000 0.7105 20.6636 0.0000 17.7772 0.0796 27.2582 92.5991 0.0000 -7.4306 3000.0000 0.0000 3000.0000
0.3040 3.1136 0.0000 2.9036 0.0000 0.7099 20.8138 0.0000 17.8868 0.0801 27.4436 92.6746 0.0000 -7.4341 3000.0000 0.0000 3000.0000
0.3060 3.1556 0.0000 2.9396 0.0000 0.7094 20.9642 0.0000 17.9964 0.0806 27.6291 92.7501 0.0000 -7.4376 3000.0000 0.0000 3000.0000
0.3080 3.1978 0.0000 2.9758 0.0000 0.7088 21.1147 0.0000 18.1061 0.0812 27.8147 92.8257 0.0000 -7.4410 3000.0000 0.0000 3000.0000
0.3100 3.2403 0.0000 3.0122 0.0000 0.7083 21.2654 0.0000 18.2157 0.0817 28.0006 92.9013 0.0000 -7.4444 3000.0000 0.0000 3000.0000
