tof posE posN posU tgtE tgtN tgtU alpha beta lethality
1.1000000000 163.0864504123 80.1023295509 129.1290513678 3000.0000000000 3000.0000000000 3000.0000000000 0.0001121240 0.0006351875 FLYING
1.1100000000 166.2551537537 81.7399767665 131.6201988558 3000.0000000000 3000.0000000000 3000.0000000000 0.0001095284 0.0006412255 FLYING
1.1200000000 169.4541916593 83.3964728906 134.1356244987 3000.0000000000 3000.0000000000 3000.0000000000 0.0001069720 0.0006472538 FLYING
1.1300000000 172.6835268270 85.0718912029 136.6753325395 3000.0000000000 3000.0000000000 3000.0000000000 0.0001044537 0.0006532724 FLYING
1.1400000000 175.9431212848 86.7663054704 139.2393272445 3000.0000000000 3000.0000000000 3000.0000000000 0.0001019728 0.0006592811 FLYING
1.1500000000 179.2329363928 88.4797899454 141.8276129030 3000.0000000000 3000.0000000000 3000.0000000000 0.0000995285 0.0006652799 FLYING
1.1600000000 182.5529328448 90.2124193628 144.4401938259 3000.0000000000 3000.0000000000 3000.0000000000 0.0000971200 0.0006712684 FLYING
1.1700000000 185.9030706706 91.9642689381 147.0770743453 3000.0000000000 3000.0000000000 3000.0000000000 0.0000947465 0.0006772468 FLYING
1.1800000000 189.2833092379 93.7354143642 149.7382588139 3000.0000000000 3000.0000000000 3000.0000000000 0.0000924074 0.0006832147 FLYING
1.1900000000 192.6936072537 95.5259318098 152.4237516039 3000.0000000000 3000.0000000000 3000.0000000000 0.0000901020 0.0006891721 FLYING
1.2000000000 196.1339227672 97.3358979161 155.1335571064 3000.0000000000 3000.0000000000 3000.0000000000 0.0000878297 0.0006951188 FLYING
1.2100000000 199.6042131709 99.1653897945 157.8676797310 3000.0000000000 3000.0000000000 3000.0000000000 0.0000855898 0.0007010547 FLYING
1.2200000000 203.1044352033 101.0144850240 160.6261239050 3000.0000000000 3000.0000000000 3000.0000000000 0.0000833817 0.0007069797 FLYING
1.2300000000 206.6345449503 102.8832616485 163.4088940725 3000.0000000000 3000.0000000000 3000.0000000000 0.0000812048 0.0007128937 FLYING
1.2400000000 210.1944978476 104.7717981741 166.2159946943 3000.0000000000 3000.0000000000 3000.0000000000 0.0000790586 0.0007187964 FLYING
1.2500000000 213.7842486828 106.6801735663 169.0474302467 3000.0000000000 3000.0000000000 3000.0000000000 0.0000769425 0.0007246878 FLYING
1.2600000000 217.4037515971 108.6084672474 171.9032052216 3000.0000000000 3000.0000000000 3000.0000000000 0.0000748561 0.0007305677 FLYING
1.2700000000 221.0529600875 110.5567590935 174.7833241253 3000.0000000000 3000.0000000000 3000.0000000000 0.0000727988 0.0007364361 FLYING
1.2800000000 224.7318270092 112.5251294318 177.6877914785 3000.0000000000 3000.0000000000 3000.0000000000 0.0000707702 0.0007422926 FLYING
1.2900000000 228.4403045773 114.5136590377 180.6166118152 3000.0000000000 3000.0000000000 3000.0000000000 0.0000687697 0.0007481374 FLYING
