TOF RNG ALT THETA RATE ALPHA ALPHADOT RATEDOT WDOT
2.2800 2735.9989 9916.8544 -0.0640 0.0007 -0.0033 0.0272 0.0243 -0.0363
2.2900 2747.9988 9916.1210 -0.0640 0.0009 -0.0030 0.0274 0.0224 -0.0335
2.3000 2759.9988 9915.3844 -0.0640 0.0011 -0.0027 0.0277 0.0206 -0.0308
2.3100 2771.9988 9914.6445 -0.0640 0.0013 -0.0024 0.0279 0.0187 -0.0280
2.3200 2783.9987 9913.9014 -0.0640 0.0015 -0.0021 0.0280 0.0167 -0.0251
2.3300 2795.9987 9913.1551 -0.0640 0.0016 -0.0019 0.0282 0.0148 -0.0223
2.3400 2807.9986 9912.4056 -0.0640 0.0018 -0.0016 0.0283 0.0129 -0.0194
2.3500 2819.9986 9911.6529 -0.0639 0.0019 -0.0013 0.0285 0.0109 -0.0165
2.3600 2831.9986 9910.8969 -0.0639 0.0020 -0.0010 0.0286 0.0090 -0.0135
2.3700 2843.9985 9910.1377 -0.0639 0.0020 -0.0007 0.0287 0.0070 -0.0106
2.3800 2855.9985 9909.3754 -0.0639 0.0021 -0.0004 0.0287 0.0050 -0.0076
2.3900 2867.9985 9908.6097 -0.0639 0.0021 -0.0002 0.0288 0.0030 -0.0046
2.4000 2879.9984 9907.8409 -0.0638 0.0021 0.0001 0.0288 0.0010 -0.0016
2.4100 2891.9984 9907.0689 -0.0638 0.0021 0.0004 0.0288 -0.0010 0.0014
2.4200 2903.9983 9906.2936 -0.0638 0.0021 0.0007 0.0288 -0.0030 0.0045
2.4300 2915.9983 9905.5151 -0.0638 0.0020 0.0010 0.0288 -0.0050 0.0075
2.4400 2927.9983 9904.7335 -0.0638 0.0020 0.0013 0.0287 -0.0070 0.0106
2.4500 2939.9982 9903.9485 -0.0637 0.0019 0.0016 0.0286 -0.0089 0.0136
2.4600 2951.9982 9903.1604 -0.0637 0.0018 0.0019 0.0286 -0.0109 0.0167
2.4700 2963.9981 9902.3691 -0.0637 0.0016 0.0021 0.0284 -0.0129 0.0197
2.4800 2975.9981 9901.5745 -0.0637 0.0015 0.0024 0.0283 -0.0149 0.0228
2.4900 2987.9981 9900.7768 -0.0637 0.0013 0.0027 0.0282 -0.0169 0.0258
2.5000 2999.9980 9899.9758 -0.0637 0.0011 0.0030 0.0280 -0.0189 0.0289
2.5100 3011.9980 9899.1716 -0.0636 0.0009 0.0033 0.0278 -0.0208 0.0319
2.5200 3023.9979 9898.3642 -0.0636 0.0007 0.0035 0.0276 -0.0228 0.0349
2.5300 3035.9979 9897.5536 -0.0636 0.0004 0.0038 0.0274 -0.0247 0.0379
2.5400 3047.9979 9896.7397 -0.0636 0.0002 0.0041 0.0271 -0.0266 0.0409
2.5500 3059.9978 9895.9227 -0.0636 -0.0001 0.0044 0.0268 -0.0285 0.0439
2.5600 3071.9978 9895.1024 -0.0636 -0.0004 0.0046 0.0265 -0.0304 0.0469
2.5700 3083.9977 9894.2789 -0.0636 -0.0007 0.0049 0.0262 -0.0323 0.0498
2.5800 3095.9977 9893.4522 -0.0636 -0.0011 0.0051 0.0259 -0.0341 0.0527
2.5900 3107.9977 9892.6223 -0.0636 -0.0014 0.0054 0.0256 -0.0359 0.0556
2.6000 3119.9976 9891.7892 -0.0637 -0.0018 0.0057 0.0252 -0.0378 0.0584
2.6100 3131.9976 9890.9529 -0.0637 -0.0022 0.0059 0.0248 -0.0395 0.0612
2.6200 3143.9976 9890.1134 -0.0637 -0.0026 0.0061 0.0244 -0.0413 0.0640
2.6300 3155.9975 9889.2706 -0.0637 -0.0031 0.0064 0.0240 -0.0430 0.0667
2.6400 3167.9975 9888.4247 -0.0638 -0.0035 0.0066 0.0236 -0.0447 0.0694
2.6500 3179.9975 9887.5755 -0.0638 -0.0040 0.0069 0.0231 -0.0464 0.0721
2.6600 3191.9974 9886.7231 -0.0638 -0.0044 0.0071 0.0227 -0.0480 0.0747
2.6700 3203.9974 9885.8676 -0.0639 -0.0049 0.0073 0.0222 -0.0496 0.0773
2.6800 3215.9974 9885.0088 -0.0639 -0.0055 0.0075 0.0217 -0.0512 0.0798
2.6900 3227.9973 9884.1468 -0.0640 -0.0060 0.0077 0.0212 -0.0527 0.0823
2.7000 3239.9973 9883.2816 -0.0640 -0.0065 0.0079 0.0206 -0.0542 0.0847
2.7100 3251.9973 9882.4132 -0.0641 -0.0071 0.0081 0.0201 -0.0557 0.0870
2.7200 3263.9972 9881.5415 -0.0642 -0.0077 0.0083 0.0195 -0.0571 0.0893
