tof posE posN posU psiRads thetaRads velE velN velU mach speed specificForceX specificForceY specificForceZ tgtE tgtN tgtU
0.2160 2.1461 0.0000 3.6381 0.0000 1.0513 18.6391 0.0000 32.5882 0.1094 37.5420 165.9744 0.0000 4.6075 3000.0000 0.0000 3000.0000
0.2180 2.1837 0.0000 3.7038 0.0000 1.0515 18.7959 0.0000 32.8808 0.1103 37.8739 165.9141 0.0000 4.6034 3000.0000 0.0000 3000.0000
0.2200 2.2216 0.0000 3.7702 0.0000 1.0517 18.9525 0.0000 33.1733 0.1113 38.2056 165.8537 0.0000 4.5992 3000.0000 0.0000 3000.0000
0.2220 2.2598 0.0000 3.8371 0.0000 1.0520 19.1090 0.0000 33.4658 0.1123 38.5372 165.7932 0.0000 4.5949 3000.0000 0.0000 3000.0000
0.2240 2.2984 0.0000 3.9046 0.0000 1.0522 19.2654 0.0000 33.7582 0.1133 38.8686 165.7328 0.0000 4.5905 3000.0000 0.0000 3000.0000
0.2260 2.3372 0.0000 3.9727 0.0000 1.0524 19.4216 0.0000 34.0505 0.1142 39.2000 165.6723 0.0000 4.5860 3000.0000 0.0000 3000.0000
0.2280 2.3764 0.0000 4.0414 0.0000 1.0527 19.5778 0.0000 34.3428 0.1152 39.5312 165.6117 0.0000 4.5815 3000.0000 0.0000 3000.0000
0.2300 2.4158 0.0000 4.1107 0.0000 1.0529 19.7338 0.0000 34.6349 0.1162 39.8623 165.5511 0.0000 4.5769 3000.0000 0.0000 3000.0000
0.2320 2.4556 0.0000 4.1806 0.0000 1.0531 19.8897 0.0000 34.9270 0.1171 40.1933 165.4905 0.0000 4.5722 3000.0000 0.0000 3000.0000
0.2340 2.4957 0.0000 4.2510 0.0000 1.0534 20.0455 0.0000 35.2191 0.1181 40.5241 165.4299 0.0000 4.5675 3000.0000 0.0000 3000.0000
0.2360 2.5361 0.0000 4.3220 0.0000 1.0536 20.2012 0.0000 35.5110 0.1191 40.8549 165.3692 0.0000 4.5626 3000.0000 0.0000 3000.0000
0.2380 2.5768 0.0000 4.3936 0.0000 1.0538 20.3567 0.0000 35.8029 0.1201 41.1855 165.3085 0.0000 4.5577 3000.0000 0.0000 3000.0000
0.2400 2.6178 0.0000 4.4658 0.0000 1.0540 20.5122 0.0000 36.0947 0.1210 41.5160 165.2477 0.0000 4.5527 3000.0000 0.0000 3000.0000
0.2420 2.6592 0.0000 4.5386 0.0000 1.0542 20.6675 0.0000 36.3864 0.1220 41.8464 165.1869 0.0000 4.5477 3000.0000 0.0000 3000.0000
0.2440 2.7008 0.0000 4.6119 0.0000 1.0545 20.8227 0.0000 36.6781 0.1230 42.1766 165.1261 0.0000 4.5425 3000.0000 0.0000 3000.0000
0.2460 2.7428 0.0000 4.6859 0.0000 1.0547 20.9778 0.0000 36.9697 0.1239 42.5068 165.0652 0.0000 4.5373 3000.0000 0.0000 3000.0000
0.2480 2.7850 0.0000 4.7604 0.0000 1.0549 21.1328 0.0000 37.2612 0.1249 42.8368 165.0043 0.0000 4.5321 3000.0000 0.0000 3000.0000
0.2500 2.8276 0.0000 4.8355 0.0000 1.0551 21.2877 0.0000 37.5526 0.1259 43.1666 164.9433 0.0000 4.5267 3000.0000 0.0000 3000.0000
0.2520 2.8705 0.0000 4.9112 0.0000 1.0553 21.4424 0.0000 37.8439 0.1269 43.4964 164.8823 0.0000 4.5213 3000.0000 0.0000 3000.0000
0.2540 2.9137 0.0000 4.9875 0.0000 1.0555 21.5971 0.0000 38.1352 0.1278 43.8261 164.8213 0.0000 4.5158 3000.0000 0.0000 3000.0000
0.2560 2.9572 0.0000 5.0643 0.0000 1.0557 21.7516 0.0000 38.4263 0.1288 44.1556 164.7602 0.0000 4.5102 3000.0000 0.0000 3000.0000
