timeOfFlight(s) posEast(m) posNorth(m) posUp(m) velEast(m/s) velNorth(m/s) velUp(m/s) accEast(m/s^2) accNorth(m/s^2) accUp(m/s^2) alpha(rads) beta(rads) normalAccCommand(m/s^2) normalAccAchieved(m/s^2) sideAccCommand(m/s^2) sideAccAchieved(m/s^2) targetEast(m) targetNorth(m) targetUp(m)
0.05400000000000004 0.21685547698068308 -0.12520395495690642 0.6470866686846446 7.661179371614191 -4.423425246287221 22.597864225885797 138.8560592034966 -80.18908484892026 399.9658605763213 3.4479066830816106e-06 -3.4668611463635083e-05 -0.06490093881220967 -1.4258689189268631e-06 0.6663316046858261 1.4324753377858201e-05 3000 3000 3000
0.05500000000000004 0.22465556391445332 -0.12970760049321187 0.6700844744687686 7.800086933770226 -4.503645536305442 22.99780578412405 138.90756215603486 -80.22029001822193 399.94155823825537 3.685903379993945e-06 -3.709304845963304e-05 -0.06721122401796208 -1.5818916735636899e-06 0.690643811308599 1.5905879384590453e-05 3000 3000 3000
0.05600000000000004 0.23259460898659914 -0.1342914970646851 0.6934821978896668 7.939045072145818 -4.583896571473246 23.39772342089813 138.95813837559217 -80.25103516780362 399.9176367740822 3.935515398148683e-06 -3.963804920381292e-05 -0.06956074150381238 -1.7516602518707046e-06 0.7153916565682634 1.762781384614216e-05 3000 3000 3000
0.057000000000000044 0.2406726618761861 -0.13895567497582928 0.7172798153934297 8.078052889586969 -4.6641779111441695 23.7976175037629 139.0078174411502 -80.28133967092333 399.89408286476953 4.197076422945988e-06 -4.2307195691140863e-05 -0.07194944403985079 -1.936100211064443e-06 0.7405751372417361 1.9500174108371295e-05 3000 3000 3000
0.058000000000000045 0.2488897713931674 -0.14370016410900835 0.7414773037810437 8.217109516981303 -4.74448913317907 24.197488387614094 139.0566273943338 -80.31122203490101 399.870883851192 4.470922729890411e-06 -4.510410204384645e-05 -0.07437728452361465 -2.1361805896424548e-06 0.7661942499230651 2.153303899774369e-05 3000 3000 3000
0.059000000000000045 0.2572459855049892 -0.14852499394214647 0.7660746401963486 8.356214111821819 -4.824829833138106 24.597336415304888 139.10459484051535 -80.34069995903621 399.8480276907944 4.757393118182105e-06 -4.803241383759321e-05 -0.07684421594697351 -2.352914882386247e-06 0.792248991027143 2.3736959782026016e-05 3000 3000 3000
0.060000000000000046 0.2657413513618528 -0.15343019356567236 0.7910718021145713 8.495365856863536 -4.905199623525898 24.997161918222645 139.15174504171782 -80.36979038779138 399.82550291775885 5.056828845625218e-06 -5.10958074409234e-05 -0.07935019136394829 -2.5873627116436895e-06 0.8187393567932986 2.6122978177838403e-05 3000 3000 3000
0.06100000000000005 0.2743759153207184 -0.15841579169875797 0.8164687673314003 8.634563958865632 -4.98559813308561 25.39696521682899 139.19810200209662 -80.3985095597114 399.80329860634276 5.369573564816893e-06 -5.429798936769127e-05 -0.0818951638594025 -2.8406303818245027e-06 0.8456653432887634 2.8702633124125074e-05 3000 3000 3000
0.06200000000000005 0.2831497229681308 -0.16348181670489606 0.8422655139525663 8.77380764741234 -5.066025006138078 25.796746621166076 139.24368854670874 -80.42687305246824 399.7814043370882 5.695973260581342e-06 -5.7642695642205835e-05 -0.08447908651854598 -3.113872043219935e-06 0.8730269464120393 3.148797371357866e-05 3000 3000 3000
0.06300000000000004 0.2920628191419373 -0.16862829660685852 0.8684620203838981 8.913096173806535 -5.146479901962469 26.19650643133171 139.28852639419435 -80.45489582439113 399.7598101656342 6.036376188614337e-06 -6.11336911768092e-05 -0.08710191239719559 -3.4082915696010388e-06 0.900824161896154 3.449157937321747e-05 3000 3000 3000
0.06400000000000004 0.30111524795196776 -0.1738552591010738 0.8950582653218236 9.05242881003045 -5.22696249421529 26.596244937925608 139.33263622391604 -80.48259225282119 399.7385065938997 6.391132815304306e-06 -6.477476916162155e-05 -0.08976359449274722 -3.7251429335812267e-06 0.9290569853118248 3.7726564889321406e-05 3000 3000 3000
0.06500000000000004 0.3103070527997363 -0.17916273157145865 0.9220542277442927 9.191804847768521 -5.307472470384847 26.995962422469027 139.37603773807018 -80.50997616955668 399.7174845434192 6.760595758697202e-06 -6.856975046619068e-05 -0.09246408571581169 -4.065731805522688e-06 0.9577254120705333 4.120659782179428e-05 3000 3000 3000
0.06600000000000004 0.31963827639722403 -0.18455074110273717 0.9494498869020923 9.331223597487728 -5.388009531278509 27.39565915779967 139.41874971920686 -80.53706089366153 399.69673533064355 7.145119730573124e-06 -7.252248305278879e-05 -0.09520333886246968 -4.431416597731621e-06 0.9868294374275137 4.494591033724153e-05 3000 3000 3000
0.06700000000000005 0.32910896078479535 -0.19001931449327755 0.977245222310536 9.470684387571293 -5.468573390540371 27.795335408443705 139.46079008356475 -80.56385926186248 399.6762506440337 7.545061479603446e-06 -7.663684140110439e-05 -0.09798130658711343 -4.823609656677981e-06 1.0163690564846581 4.8959312563948875e-05 3000 3000 3000
0.06800000000000005 0.3387191473482972 -0.19556847826747467 1.0054402137415026 9.610186563501873 -5.5491637741971145 28.194991430966496 139.50217593058105 -80.59038365674374 399.65602252279115 7.960779735558044e-06 -8.09167259440827e-05 -0.10079794137583362 -5.243778575181534e-06 1.0463442641933551 5.326220719150185e-05 3000 3000 3000
0.06900000000000005 0.348468876835388 -0.20119825868770472 1.0340348412158062 9.749729487090772 -5.629780420230046 28.59462747430359 139.54292358889901 -80.61664603293129 399.6360433370918 8.392635154532952e-06 -8.536606251467267e-05 -0.10365319552032179 -5.693447125280724e-06 1.0767550553572462 5.787060024610863e-05 3000 3000 3000
