TOF EAST NORTH UP EAST_V NORTH_V UP_V EAST_A NORTH_A UP_A tgtE tgtN tgtU
0.213 205.09 48.3962 68.6024 916.349 284.495 407.269 -525.656 525.328 815.754 5000 10000 12500
0.214 206.006 48.681 69.0101 915.822 285.02 408.085 -526.874 524.952 815.766 5000 10000 12500
0.215 206.921 48.9663 69.4186 915.295 285.545 408.9 -528.091 524.572 815.774 5000 10000 12500
0.216 207.836 49.2521 69.8279 914.766 286.069 409.716 -529.306 524.188 815.778 5000 10000 12500
0.217 208.751 49.5384 70.238 914.236 286.593 410.532 -530.52 523.801 815.778 5000 10000 12500
0.218 209.665 49.8253 70.6489 913.705 287.117 411.348 -531.732 523.409 815.774 5000 10000 12500
0.219 210.578 50.1127 71.0607 913.173 287.64 412.163 -532.942 523.014 815.765 5000 10000 12500
0.22 211.491 50.4006 71.4733 912.639 288.163 412.979 -534.151 522.615 815.753 5000 10000 12500
0.221 212.404 50.689 71.8866 912.105 288.685 413.795 -535.358 522.213 815.736 5000 10000 12500
0.222 213.316 50.9779 72.3008 911.569 289.207 414.611 -536.563 521.806 815.715 5000 10000 12500
0.223 214.227 51.2674 72.7159 911.031 289.729 415.426 -537.767 521.396 815.69 5000 10000 12500
0.224 215.138 51.5574 73.1317 910.493 290.25 416.242 -538.968 520.982 815.66 5000 10000 12500
0.225 216.048 51.8479 73.5483 909.953 290.771 417.058 -540.168 520.564 815.627 5000 10000 12500
0.226 216.957 52.1389 73.9658 909.413 291.291 417.873 -541.366 520.142 815.589 5000 10000 12500
0.227 217.867 52.4305 74.3841 908.871 291.811 418.689 -542.563 519.717 815.547 5000 10000 12500
0.228 218.775 52.7225 74.8032 908.328 292.33 419.504 -543.757 519.288 815.501 5000 10000 12500
0.229 219.683 53.0151 75.2231 907.783 292.849 420.32 -544.95 518.855 815.45 5000 10000 12500
0.23 220.591 53.3082 75.6438 907.238 293.368 421.135 -546.14 518.418 815.396 5000 10000 12500
0.231 221.498 53.6019 76.0654 906.691 293.886 421.951 -547.329 517.977 815.337 5000 10000 12500
0.232 222.404 53.896 76.4877 906.143 294.404 422.766 -548.516 517.533 815.274 5000 10000 12500
0.233 223.31 54.1907 76.9109 905.594 294.921 423.581 -549.701 517.085 815.207 5000 10000 12500
0.234 224.215 54.4859 77.3349 905.044 295.438 424.396 -550.884 516.633 815.135 5000 10000 12500
0.235 225.12 54.7816 77.7597 904.492 295.955 425.212 -552.064 516.177 815.06 5000 10000 12500
0.236 226.024 55.0778 78.1853 903.94 296.471 426.027 -553.243 515.718 814.98 5000 10000 12500
0.237 226.928 55.3745 78.6117 903.386 296.986 426.841 -554.42 515.255 814.896 5000 10000 12500
0.238 227.831 55.6717 79.039 902.831 297.501 427.656 -555.594 514.788 814.808 5000 10000 12500
0.239 228.734 55.9695 79.4671 902.274 298.016 428.471 -556.767 514.317 814.716 5000 10000 12500
0.24 229.636 56.2678 79.8959 901.717 298.53 429.286 -557.937 513.843 814.619 5000 10000 12500
0.241 230.537 56.5666 80.3256 901.159 299.043 430.1 -559.106 513.364 814.518 5000 10000 12500
0.242 231.438 56.8659 80.7561 900.599 299.556 430.915 -560.272 512.883 814.413 5000 10000 12500
0.243 232.338 57.1657 81.1875 900.038 300.069 431.729 -561.435 512.397 814.304 5000 10000 12500
0.244 233.238 57.466 81.6196 899.476 300.581 432.543 -562.597 511.907 814.191 5000 10000 12500
0.245 234.137 57.7668 82.0525 898.913 301.093 433.358 -563.756 511.414 814.073 5000 10000 12500
0.246 235.036 58.0682 82.4863 898.349 301.604 434.172 -564.914 510.918 813.951 5000 10000 12500
0.247 235.934 58.37 82.9209 897.783 302.115 434.985 -566.068 510.417 813.825 5000 10000 12500
0.248 236.831 58.6724 83.3563 897.216 302.625 435.799 -567.221 509.913 813.695 5000 10000 12500
0.249 237.728 58.9753 83.7925 896.649 303.134 436.613 -568.371 509.405 813.561 5000 10000 12500
0.25 238.625 59.2787 84.2295 896.08 303.644 437.426 -569.519 508.893 813.422 5000 10000 12500
0.251 239.521 59.5826 84.6673 895.51 304.152 438.24 -570.665 508.378 813.279 5000 10000 12500
0.252 240.416 59.887 85.106 894.938 304.66 439.053 -571.808 507.859 813.133 5000 10000 12500
0.253 241.31 60.1919 85.5454 894.366 305.168 439.866 -572.948 507.336 812.981 5000 10000 12500
0.254 242.204 60.4973 85.9857 893.792 305.675 440.679 -574.087 506.809 812.826 5000 10000 12500
0.255 243.098 60.8032 86.4268 893.218 306.182 441.492 -575.222 506.279 812.666 5000 10000 12500
0.256 243.991 61.1097 86.8687 892.642 306.688 442.304 -576.356 505.745 812.503 5000 10000 12500
0.257 244.883 61.4166 87.3114 892.065 307.193 443.117 -577.486 505.208 812.335 5000 10000 12500
0.258 245.775 61.7241 87.7549 891.487 307.698 443.929 -578.615 504.667 812.163 5000 10000 12500
0.259 246.666 62.032 88.1993 890.908 308.202 444.741 -579.74 504.122 811.986 5000 10000 12500
0.26 247.557 62.3405 88.6444 890.328 308.706 445.553 -580.863 503.573 811.806 5000 10000 12500
0.261 248.447 62.6494 89.0904 889.746 309.21 446.365 -581.984 503.021 811.621 5000 10000 12500
0.262 249.336 62.9589 89.5371 889.164 309.712 447.176 -583.102 502.465 811.432 5000 10000 12500
